image_id,image_path,query,gt_bbox_normalized,success,iou,pred_bbox_normalized,pred_bbox_pixel,error
10605_0000.png,Images_validation/Images_val/10605_0000.png,The basketball court is located at the top-middle of the image.,"[0.37, 0.0, 0.66, 0.22]",True,0.0,"[0.763671875, 0.21484375, 0.8984375, 0.345703125]","{'x': 391, 'y': 110, 'width': 69, 'height': 67}",
P0170_0009.png,Images_validation/Images_val/P0170_0009.png,"The aircraft at the bottom-middle of the image, is furthest to the right.","[0.42, 0.87, 0.61, 1.02]",True,0.2029806524515152,"[0.53125, 0.8984375, 0.6875, 0.990234375]","{'x': 272, 'y': 460, 'width': 80, 'height': 47}",
08816_0000.png,Images_validation/Images_val/08816_0000.png,The train station is located on the right side of the image.,"[0.75, 0.42, 0.91, 1.03]",True,0.10769715160131454,"[0.67578125, 0.3984375, 0.818359375, 0.599609375]","{'x': 346, 'y': 204, 'width': 73, 'height': 103}",
P2413_0017.png,Images_validation/Images_val/P2413_0017.png,The roundabout located in the middle-left of the image.,"[0.17, 0.39, 0.33, 0.57]",True,0.6314610242843628,"[0.15625, 0.36328125, 0.34765625, 0.6015625]","{'x': 80, 'y': 186, 'width': 98, 'height': 122}",
10659_0000.png,Images_validation/Images_val/10659_0000.png,The windmill is located in the middle-left of the image.,"[0.09, 0.51, 0.4, 0.64]",True,0.39377519488334656,"[0.21875, 0.52734375, 0.375, 0.62890625]","{'x': 112, 'y': 270, 'width': 80, 'height': 52}",
P1512_0012.png,Images_validation/Images_val/P1512_0012.png,The plane is positioned on middle-left part of the image.,"[0, 0.37, 0.35, 0.88]",True,0.43810248374938965,"[0.009765625, 0.431640625, 0.25390625, 0.751953125]","{'x': 5, 'y': 221, 'width': 125, 'height': 164}",
08615_0000.png,Images_validation/Images_val/08615_0000.png,The wind turbine with long blades occupies a central position in the landscape.,"[0.47, 0.58, 0.82, 0.87]",True,0.16709427535533905,"[0.576171875, 0.419921875, 0.796875, 0.68359375]","{'x': 295, 'y': 215, 'width': 113, 'height': 135}",
09090_0000.png,Images_validation/Images_val/09090_0000.png,The vehicle placed on the left-hand side of the road's middle section.,"[0.13, 0.44, 0.16, 0.49]",True,0.0,"[0.279296875, 0.41015625, 0.345703125, 0.490234375]","{'x': 143, 'y': 210, 'width': 34, 'height': 41}",
11201_0000.png,Images_validation/Images_val/11201_0000.png,The overpass is located at the bottom of the image.,"[0.37, 0.81, 1.3, 0.94]",True,0.0,"[0.19921875, 0.796875, 0.294921875, 0.921875]","{'x': 102, 'y': 408, 'width': 49, 'height': 64}",
P1007_0004.png,Images_validation/Images_val/P1007_0004.png,"The swimming pool situated towards the center left part of the image, larger in size.","[0.25, 0.41, 0.35, 0.52]",True,0.4564076066017151,"[0.236328125, 0.373046875, 0.39453125, 0.525390625]","{'x': 121, 'y': 191, 'width': 81, 'height': 78}",
P1410_0045.png,Images_validation/Images_val/P1410_0045.png,The unique large vehicle is located towards the bottom middle of the image.,"[0.43, 0.76, 0.49, 0.81]",True,0.0,"[0.220703125, 0.7890625, 0.337890625, 0.87109375]","{'x': 113, 'y': 404, 'width': 60, 'height': 42}",
